Name,QB,RB,WR,TE,OT,IOL,DE,DT,LB,CB,S,K,P
Cardinals,7,8,6,2,9,7,8,4,8,5,4
49ers,2,5,10,7,9,4,7,6,6,6,7
Seahawks,2,4,6,3,7,8,7,5,6,8,3
Rams,8,6,7,5,9,4,4,5,7,10,7
Falcons,5,3,8,6,5,7,7,8,5,8,3
Saints,4,8,10,4,6,6,9,8,5,6,5
Panthers,4,3,6,7,6,5,9,8,8,5,5
Buccaneers,4,4,6,7,4,6,10,7,9,7,3
Bears,2,5,4,2,6,5,8,9,7,6,7
Lions,4,2,4,2,9,7,9,4,5,6,5
Packers,3,4,4,3,8,7,5,8,4,8,4
Vikings,6,8,5,5,4,5,3,6,6,10,9
Cowboys,3,6,5,4,5,4,10,4,9,10,7
Eagles,3,2,7,8,7,5,7,4,2,5,4
Commanders,3,7,9,5,4,6,10,4,8,6,9
Giants,2,4,10,3,8,6,4,6,7,8,8
Bills,2,2,10,3,5,4,8,6,9,7,8
Dolphins,9,2,8,5,9,7,5,5,4,10,7
Jets,10,3,10,3,4,5,7,8,9,9,6
Patriots,2,2,8,5,8,7,9,4,7,4,5
Colts,8,2,4,3,8,5,9,6,9,4,6
Jaguars,2,4,4,4,7,8,5,8,4,4,8
Texans,3,9,4,4,10,9,4,8,6,4,5
Titans,2,5,10,4,6,5,10,3,9,9,7
Chiefs,3,10,9,6,6,4,9,8,4,7,7
Broncos,2,5,8,9,5,4,4,7,8,3,6
Chargers,2,3,5,5,5,10,9,9,6,5,6
Raiders,10,2,9,2,9,7,9,6,6,8,6
Ravens,2,5,8,3,5,7,9,9,4,5,3
Steelers,9,4,10,2,7,5,4,4,5,8,6
Browns,10,2,10,4,10,9,6,4,4,8,5
Bengals,2,5,4,4,6,6,8,9,7,9,10
