Round,Pick Number,Current Team,Original Team,Year
1,1,Raiders,Raiders,2026
1,2,Jets,Jets,2026
1,3,Cardinals,Cardinals,2026
1,4,Titans,Titans,2026
1,5,Giants,Giants,2026
1,6,Browns,Browns,2026
1,7,Commanders,Commanders,2026
1,8,Saints,Saints,2026
1,9,Chiefs,Chiefs,2026
1,10,Bengals,Bengals,2026
1,11,Dolphins,Dolphins,2026
1,12,Cowboys,Cowboys,2026
1,13,Rams,Falcons,2026
1,14,Ravens,Ravens,2026
1,15,Buccaneers,Buccaneers,2026
1,16,Jets,Colts,2026
1,17,Lions,Lions,2026
1,18,Vikings,Vikings,2026
1,19,Panthers,Panthers,2026
1,20,Cowboys,Packers,2026
1,21,Steelers,Steelers,2026
1,22,Chargers,Chargers,2026
1,23,Eagles,Eagles,2026
1,24,Browns,Jaguars,2026
1,25,Bears,Bears,2026
1,26,Bills,Bills,2026
1,27,49ers,49ers,2026
1,28,Texans,Texans,2026
1,29,Rams,Rams,2026
1,30,Broncos,Broncos,2026
1,31,Patriots,Patriots,2026
1,32,Seahawks,Seahawks,2026
2,33,Jets,Jets,2026
2,34,Cardinals,Cardinals,2026
2,35,Titans,Titans,2026
2,36,Raiders,Raiders,2026
2,37,Giants,Giants,2026
2,38,Texans,Commanders,2026
2,39,Browns,Browns,2026
2,40,Chiefs,Chiefs,2026
2,41,Bengals,Bengals,2026
2,42,Saints,Saints,2026
2,43,Dolphins,Dolphins,2026
2,44,Jets,Cowboys,2026
2,45,Ravens,Ravens,2026
2,46,Buccaneers,Buccaneers,2026
2,47,Colts,Colts,2026
2,48,Falcons,Falcons,2026
2,49,Vikings,Vikings,2026
2,50,Lions,Lions,2026
2,51,Panthers,Panthers,2026
2,52,Packers,Packers,2026
2,53,Steelers,Steelers,2026
2,54,Eagles,Eagles,2026
2,55,Chargers,Chargers,2026
2,56,Jaguars,Jaguars,2026
2,57,Bears,Bears,2026
2,58,49ers,49ers,2026
2,59,Texans,Texans,2026
2,60,Bills,Bills,2026
2,61,Rams,Rams,2026
2,62,Broncos,Broncos,2026
2,63,Patriots,Patriots,2026
2,64,Seahawks,Seahawks,2026
3,65,Cardinals,Cardinals,2026
3,66,Titans,Titans,2026
3,67,Raiders,Raiders,2026
3,68,Eagles,Jets,2026
3,69,Texans,Giants,2026
3,70,Browns,Browns,2026
3,71,Commanders,Commanders,2026
3,72,Bengals,Bengals,2026
3,73,Saints,Saints,2026
3,74,Chiefs,Chiefs,2026
3,75,Dolphins,Dolphins,2026
3,76,Steelers,Cowboys,2026
3,77,Buccaneers,Buccaneers,2026
3,78,Colts,Colts,2026
3,79,Falcons,Falcons,2026
3,80,Ravens,Ravens,2026
3,81,Jaguars,Lions,2026
3,82,Vikings,Vikings,2026
3,83,Panthers,Panthers,2026
